Author; Title; Date of first Publishing; Genre; Sub-Genre; Confidence Score
Play All: A Bingewatcher's Notebook;Clive James;1978; Fiction; Horror;95
 Tukikohta;Stephen King;1951;Non-Fiction; Psychology;100
Client-Centered Therapy;Carl Rogers;No Value;No Value;No Value;95
Treasury of the True Dharma Eye;Kazuaki Tanahashi;No Value;Non-fiction;Nature;95
Around the Ocean in 80 Fish & Other Sea Life;Helen Scales;1871;Fiction;Realist;100
Middlemarch;George Eliot;1991;Fantasy;High Fantasy;100
Gevatter Tod;Terry Pratchett;1951;Science Fiction;Space Opera;100
Foundation;Isaac Asimov;1961;Fiction;Satire;95
Catch-22;Joseph Heller;1979;Non-fiction;Cultural Studies;100
Subculture: The Meaning of Style;Dick Hebdige;1976;Science;Evolution;100
The Selfish Gene;Richard Dawkins;2004;Fiction;Satire;95
PopCo;Scarlett Thomas;1972;History;Economic History;100
How Europe Underdeveloped Africa;Walter Rodney;No Value;Non-fiction;Nature;100
Birding für Ahnunglose;Véro Mischitz;1921;History;Historical Fiction;100
Rafael Sabatini;Scaramouche;No Value;Non-fiction;Nature;100
Finding the Mother Tree;Suzanne Simard;2009;Fiction;Science Fiction;90
1Q84;Murakami;1974; Science Fiction; Utopian;95
 The Dispossessed;Ursula K. Le Guin;No Value;Science Fiction;Sub-genre not visible;90
An Unkindness of Ghosts;Rivers Solomon;1963;Non-Fiction;Essays;90
Baldwin; The Mindfulness & Acceptance Workbook for Depression;; No Value Extraction Possible; No Value Extraction Possible;90
 Patricia J. Robinson;Kirk D. Strosahl;No Value;Novel;Historical Fiction;95
The Obedient Assassin;John P. Davidson;1967;Fiction;Young Adult;100
The Outsiders;S.E. Hinton;1962;Fiction;Science Fiction;100
A Wrinkle in Time;Madeleine L'Engle;No Value;Reference;Encyclopedia;95
Lexikon der Sexual Aufklärung;Martin Goldstein/Will McBride;1976;Philosophy;Psychology;100
To Have or To Be;Erich Fromm;1996;Non-fiction;Adventure;100
Into the Wild;Jon Krakauer;No Value;No Value;No Value;90
Neil K Davey;Netsuke;1990;Non-fiction;Gender Studies;95
Gender Trouble;Judith Butler;1987;Non-Fiction;Project Management;90
Peopleware: Productive Projects and Teams;Tom DeMarco & Timothy Lister; No Value extraction possilbe; Non-fiction; Musicology;85
 The Pathetick Musician: Moving an Audience in the Age of Eloquence;Bruce Haynes;1971;Children's Literature;Young Adult;95
Me and My Little Brain;John D. Fitzgerald; No Value extraction possible; No Value extraction possible; No Value extraction possible;90
 The Geography of Nowhere;James Howard Kunstler;1965;Science Fiction;Space Opera;100
The Great Dune Trilogy;Frank Herbert;No Value;No Value;No Value;100
EDUDANT UND FRANZIMOR;KAREL POLÁČEK;;Non-fiction;Aviation;75
Gossamer Odyssey;Morton Grosser;1895  ;Play;Comedy;
The Importance of Being Earnest ;Oscar Wilde ;No Value;Fantasy;Sub-genre unknown;90
Drachenfeuer;W. und H. Hohlbein;1958; Children's literature; Fiction;100
 A Bear Called Paddington;Michael Bond;2020;Non-fiction;Sociology;100
Caste: The Origins of Our Discontents;Isabel Wilkerson;1999;Non-fiction;Memoir;95
Biohazard;Ken Alibek;No Value;Non-fiction;Religion;80
Buddhism in a New Light;Shin Yatomi;1939;Biography;Nonfiction;100
W.C. Fields: His Follies & Fortunes;Robert Lewis Taylor;1930; Mystery; Juvenile;100
 Carolyn Keene;The Secret of the Old Clock;1935;Historical fiction;Adventure;95
Musashi;Eiji Yoshikawa;2005;Non-fiction;History;90
1491;Charles C. Mann;1969;Autobiography;Memoir;95
Papillon;Henri Charrière; No Value extraction possible; No Value extraction possible; No Value extraction possible;100
 Binyavanga Wainaina;One Day I Will Write About This Place;1985;Non-fiction;Medicine;100
The Man Who Mistook His Wife for a Hat;Oliver Sacks;;;;80
;Peter's Wagon;2013;Non-Fiction;Literary Analysis;100
Into the Woods;John Yorke;No Value;Humor;No Value;90
Up the Tyne in a Flummox;Leonard Barras;2005; Fiction; Literary;100
 Extremely Loud & Incredibly Close;Jonathan Safran Foer;1983;Non-Fiction;Politics;95
Right-Wing Women;Andrea Dworkin;No Value;No Value;No Value;100
Nikolaikirche;Erich Loest;1943;Children's literature;N/A;100
The Little Prince;Antoine de Saint-Exupéry;No Value;Novel;Literary Fiction;90
Das Leben der Renée von Catte;Elsa von Bonin;1979;Fiction;Postmodern Literature;95
Se una notte d'inverno un viaggiatore;Italo Calvino;1940; Fiction; Literary Fiction;90
 Carson McCullers;The Heart is a Lonely Hunter;;Philosophy;Political Theory;95
Der Fürst;Niccolo Machiavelli;No Value;No Value;No Value;100
Courting the Wild Twin;Martin Shaw;1976;Fantasy;High Fantasy;95
Riddle-Master;Patricia A. McKillip;;Political philosophy;Non-fiction;100
The Prince;Niccolò Machiavelli;1999;Graphic Novel;Horror;85
From Hell;Alan Moore;1994;Architecture;History;100
How Buildings Learn;Stewart Brand; No Value; No Value; No Value;100
 The Comedians;Graham Greene;1971;Education;Non-fiction;100
Deschooling Society;Ivan Illich;2003;History;New Zealand History;95
The Penguin History of New Zealand;Michael King;1964;Children's literature;Humor;100
UNCLE;J.P. Martin;1979;Science Fiction;Comedy;100
The Hitch Hiker's Guide to the Galaxy;Douglas Adams;1985;Non-fiction;Historical;95
Move Your Shadow;Joseph Lelyveld;No Value;No Value;No Value;95
Die Geschichte von Zeb;Margaret Atwood;1958;Fiction;Fantasy;90
The Once & Future King;T.H. White;No Value;Non-fiction;Politics;100
Revolution in Rojava;Michael Knapp/Anja Flach/Ercan Ayboga; No Value extraction possible;;;80
 Metsän seinä on vain vihreä ovi;Risto Rasa;No Value;No Value;No Value;90
Prison Diary;Ho Chi Minh;No Value;Non-fiction;Psychology;90
Wie wirklich ist die Wirklichkeit?;Paul Watzlawick;1954;Fantasy;High fantasy;100
The Fellowship of the Ring;J.R.R. Tolkien;1992;Science Fiction;Hard Science Fiction;95
Red Mars;Kim Stanley Robinson;1998;Politics and Government;Political Theory;100
Seeing Like a State;James C. Scott;1984;Science Fiction;Cyberpunk;100
Neuromancer;William Gibson;2021; Science Fiction; No Value;100
 Perhaps the Stars;Ada Palmer;No Value;No Value;No Value;90
My Guru and His Disciple;Christopher Isherwood;;Fiction;Short Stories;100
The Complete Short Stories of Mark Twain;Mark Twain;No Value;Fantasy;Fairy Tale;95
The Golem;Elie Wiesel;1988;Science;Physics;100
A Brief History of Time;Stephen Hawking;1978;novel;fiction;100
The World According to Garp;John Irving;1897;Horror;Gothic Horror;100
Dracula;Bram Stoker;No Value;Science Fiction;Space Opera;95
Light;M. JOHN HARRISON; No Value extraction possible; Science Fiction; No Value extraction possible;90
 Moreta Die Drachenherrin von Pern;ANNE McCAFFREY;No Value;Technology;Reverse Engineering;100
Hacking the Xbox;"Andrew ""bunnie"" Huang";No Value;Non-fiction;Political;100
This Is Not Propaganda;Peter Pomerantsev;1997;Fantasy;High Fantasy;95
Dragonclaw;Kate Forsyth;1995;Non-fiction;Science;100
The Demon-Haunted World;Carl Sagan;;;;
Bitches Get Everything ;Irena Karpa ; No Value; Fiction; No Value;80
 Die Schule der Gottlosigkeit;Aleksandar Tišma;1938;Philosophy;Religion;100
The Science of Mind;Ernest Holmes;2006; History; Public Health;100
 Steven Johnson;The Ghost Map;2003;Non-fiction;Popular Science;100
A Short History of Nearly Everything;Bill Bryson; No Value extraction possible; No Value extraction possible; No Value extraction possible;100
 littleblackbastard;Noel Tovey;1989;Science Fiction;Space Opera;100
Hyperion;Dan Simmons;No Value;Cartoon;Environmental;100
Globetrotter;Horst Haitzinger;1929;Non-fiction;Political theory;95
Gefängnishefte 1;Antonio Gramsci;;Non-fiction;Technology;100
The Zen of Programming;Geoffrey James;;;;
Satt. Sauber. Sicher. ;Dirk Bernemann ;1999;Science Fiction;Cyberpunk;95
Cryptonomicon;Neal Stephenson;1972;Art;Art Criticism;100
Ways of Seeing;John Berger;1977;Humor;Instructional;90
Juggling for the Complete Klutz;John Cassidy and B.C. Rimbeaux;1882;Novel;Adventure;95
Bevis: The Story of a Boy;Richard Jefferies;1956;Humor;Satire;95
Whizz for Atommms;Geoffrey Willans and Ronald Searle;No Value;Political Science;No Value;100
Kropotkin's Revolutionary Pamphlets;Peter Kropotkin;1999;Fiction;Drama;100
Hearts in Atlantis;Stephen King; No Value; Religion; No Value;100
 Abandonment to Divine Providence;Jean Pierre de Caussade;No Value;Non-fiction;History;100
Cultural Amnesia;Clive James;1867; Non-fiction; Economics;100
Capital Volume 1;Karl Marx;1981;Thriller;Mystery;95
Punainen Lohikäärme;Thomas Harris;1972; Science Fiction; Hard Science Fiction;100
 The Gods Themselves;Isaac Asimov;;;;
Konfikte lösen durch Gewaltfreie Kommunikation ;Marshall B. Rosenberg ;1966;Fiction;Young Adult Mystery;100
The Mystery of the Spiral Bridge;Franklin W. Dixon;1922; Non-fiction; Travel;100
 The Worst Journey in the World;Apsley Cherry-Garrard;1950;Science Fiction;No Sub-genre;95
I  Robot;Isaac Asimov;1971;Non-Fiction;Gonzo Journalism;100
Fear and Loathing in Las Vegas;Hunter S. Thompson;1978; Computer Science; Programming;100
 The C Programming Language;Brian W. Kernighan;1944; Non-Fiction; Politics;100
 The Road to Serfdom;Hayek;1963;Philosophy;Political;100
La banalità del male;Hannah Arendt;1892;Detective Fiction;Mystery;100
The Adventures of Sherlock Holmes;Arthur Conan Doyle;1962;Non-fiction;Social Issues;100
Negroes with Guns;Robert F. Williams;2000;Science Fiction;Space Opera;100
Look to Windward;Iain M. Banks;1997;Fiction;Literary Fiction;100
The God of Small Things;Arundhati Roy;1994; No Value; No Value;90
 The Thought Gang;Tibor Fischer;No Value;No Value;No Value;90
Der Fönig;Walter Moers;1984; Science Fiction; Cyberpunk;100
 Neuromancer;William Gibson;1967;Children;Picture Book;100
Frederick;Leo Lionni;No Value;Non-fiction;Linguistics;100
The Unfolding of Language;Guy Deutscher;1984;Science Fiction;Cyberpunk;100
Neuromancer;William Gibson;2015;Fantasy;High Fantasy;100
The Broken Earth;N. K. Jemisin;1949;Science Fiction;Dystopian;100
1984;George Orwell;2020;Fantasy;Urban Fantasy;100
The City We Became;N. K. Jemisin;1926;Non-fiction;Autobiography;95
You Can't Win;Jack Black;No Value;No Value;No Value;100
ORPHEUS;Arno Schmidt;No Value;Fantasy;No Value;90
König Artus lässt schön grüßen;Naomi Mitchison;No Value;Essays;No Value;100
Rache ist sauer;George Orwell;No Value;Fantasy;Comic;100
Red Sonja;Gail Simone;1985;Speculative Fiction;Dystopian;100
The Handmaid's Tale;Margaret Atwood;1954;Fantasy;No specific sub-genre;100
The Lord of the Rings;J.R.R. Tolkien;1976;Science;Biology;100
The Selfish Gene;Richard Dawkins;1978;Speculative Fiction;Horror;100
The Stand;Stephen King;1977;Fantasy;Epic Fantasy;100
Lord Foul's Bane;Stephen R. Donaldson;No Value;No Value;No Value;100
Glen Coates;The Rise and Fall of the Southern Alps; No Value; No Value; No Value;90
 La Madre;Máximo Gorki;2016;Non-fiction;History;95
The Fifty-Year Mission: The First 25 Years;Edward Gross & Mark A. Altman;No Value;No Value;No Value;100
Exploitation;Alan Wertheimer;1982;Fiction;Magical Realism;100
A Wild Sheep Chase;Haruki Murakami;1876;Opera;Classical;95
Der Ring des Nibelungen;Richard Wagner;No Value;Non-Fiction;Biography;95
Wifedom: Mrs. Orwell's Invisible Life;Anna Funder;1979;Science Fiction;Humorous Science Fiction;100
The Hitchhiker's Guide to the Galaxy;Douglas Adams;I don't know;Fiction;Fantasy;90
The Mists of Avalon;Marion Zimmer Bradley;No Value;;;
Zen and the Art of Saving the Planet;Thich Nhat Hanh;1904;Poetry;Lyrical;95
The Collected Poems;A. E. Housman;2016;Science Fiction;Speculative Fiction;100
Too Like the Lightning;Ada Palmer;1968;Fantasy;High Fantasy;100
A Wizard of Earthsea;Ursula K. Le Guin;1986;Non-Fiction;History;100
The Blood of Kings ;David Freidel and Linda Schele ;1974;Poetry;Children's literature;100
Where the Sidewalk Ends;Shel Silverstein;1986;Non-fiction;Writing;100
Writing Down the Bones;Natalie Goldberg;No Value extraction possilbe;No Value extraction possilbe;No Value extraction possilbe;100
A Tale for the Time Being;Ruth Ozeki;No Value;No Value;No Value;90
Pachakútec II;Naupany Puma;1984;Science Fiction;Cyberpunk;95
NEUROVELHO;William Gibson;1970;Nonfiction;Philosophy;100
Criticism and the Growth of Knowledge;Imre Lakatos & Alan Musgrave;1932; Science Fiction; Dystopian;100
 Brave New World;Aldous Huxley;2006;Non-Fiction;Science;95
The God Delusion;Richard Dawkins;1981;Science Fiction;No Value;100
VALIS;Philip K. Dick;1965;Science Fiction;High Fantasy;100
Dune;Frank Herbert;1993; Fiction; Literary Fiction;100
 The Stone Diaries;Carol Shields;No Value;Non-fiction;History;95
Common People;Alison Light;;Fiction;Historical Fiction;95
The Light Years;Elizabeth Jane Howard;No Value;No Value;No Value;100
Sea of Tranquility;Emily St. John Mandel;1955;Fiction;Literary;95
Heinrich Böll;The Bread of Those Early Years;;No Value extraction possible;;
Hardcore Zen;Brad Warner; No Value extraction possible; No Value extraction possible; No Value extraction possible;100
 No Value extraction possible;Kari Hotakainen KLASSIKKO;1879;Poetry;Religious;100
The Light of Asia;Sir Edwin Arnold;1949; Fiction; Short Story Collection;100
 The Lottery and Other Stories;Shirley Jackson;1982;Fiction;Philosophical 100;
The Book of Disquiet;Fernando Pessoa; No Value; Non-Fiction; Guide;90
 The Kerbal Player's Guide;Jon Manning;1922;Fiction;Philosophical Fiction;95
Siddhartha;Hermann Hesse; No value; No value; No value;90
 Casanova in Bolzano;Sándor Márai;No Value;Non-fiction;Nature;95
The History of the World in 100 Plants;Simon Barnes;2010;Non-fiction;Philosophy;100
The Moral Landscape;Sam Harris;1951;Science Fiction;Space Opera;100
Die Foundation-Trilogie;Isaac Asimov;1951;Fiction;No sub-genre;95
Schwarze Spiegel;Arno Schmidt;1964;Non-Fiction;Civil Rights;100
Why We Can't Wait;Martin Luther King;2002;Science Fiction;Anthology;100
Stories of Your Life and Others;Ted Chiang;1977;Non-fiction;Philosophy;95
Cosmic Trigger: Final Secret of The Illuminati;Robert Anton Wilson; No Value extraction possible; History; No Value extraction possible;90
 Waterloo Creek;Roger Milliss;1982;Science;Mathematics;95
Die fraktale Geometrie der Natur;Benoît B. Mandelbrot;;;;100
A Suitable Boy;Vikram Seth;1997; History; War;100
 The Rape of Nanking;Iris Chang;1970;Science Fiction;Hard Science Fiction;100
Larry Niven;Ringworld;;;;
 Paul Dirksen;Structured Fortran with WatFiv-S Paul Cress;No Value;Science Fiction;Graphic Novel;100
Tillie Walden;On a Sunbeam; No Value; Non-Fiction; Reference;90
Arkady Leokum; Tell Me Why;No Value;Non-fiction;Children's reference;90
Arkady Leokum;Tell Me Why;No Value;Non-fiction;Reference;95
Arkady Leokum;Still More Tell Me Why; No Value; No Value; No Value;95
Arkady Leokum; Lots More Tell Me Why; unknown; Nonfiction; Reference;90
The author's name unknown;The Big Book of Amazing Facts; No Value extraction possible; No Value extraction possible; No Value extraction possible;100
Sverre Hoem; ADHD og samliv;1991;Philosophy;Sociology;95
Bruno Latour;We Have Never Been Modern;;Fiction;Literary;95
Sue Monk Kidd;Die Bienenhüterin;1974;Poetry;Children's;100
Shel Silverstein;Where the Sidewalk Ends;;;;100
Robert Antelme;Das Menschengeschlecht;2018;Fiction;Fantasy;100
Madeline Miller;Circe;; Epic Poetry;;
Homer; The Iliad;No Value;No Value;No Value;100
Ella Lingens-Reiner;Prisoners of Fear;1962; Non-Fiction; Science;100
Thomas S. Kuhn; The Structure of Scientific Revolutions;No Value;Non-fiction;Advice;100
Dan Savage;Savage Love;1954; Fantasy; Epic Fantasy;100
J.R.R. Tolkien; The Fellowship of the Ring;Unknown;Business;Consulting;95
Geoffrey M. Bellman;The Consultant's Calling;No Value;No Value;No Value;90
Abraham A. Moles;Kunst & Computer;1975;Drama;Tragedy;100
Wole Soyinka;Death and the King's Horseman;1997;Spirituality;Self-help;100
Don Miguel Ruiz;Die Vier Versprechen;1812;Fiction;Fairy Tales;100
Grimm Brothers;Grimm's Fairy Tales;2014;Non-Fiction;Science;95
Randall Munroe;WHAT IF?;No Value extraction possible;No Value extraction possible;No Value extraction possible;90
David Einhorn;Fooling Some of the People All of the Time;;Fiction;Horror;90
Anne Rice;VEREN VANGIT;No Value;Non-fiction;Business;90
Terry J. Fadem;The Art of Asking;1972;Science Fiction;Apocalyptic and Post-Apocalyptic;90
Arkady & Boris Strugatsky;Roadside Picnic;1966;Reference ;Mathematics;95
 J. Laurie Snell ;Introduction to Probability;1989; Fiction; Drama;90
N.H. Kleinbaum; Der Club Der Toten Dichter;No Value;No Value;No Value;95
Betty Mahmoody;Nicht ohne meine Tochter;No Date;Unknown;Unknown;90
Rachel Campbell-Johnston;Der Junge und der Elefant; No Value extraction possilbe; No Value extraction possilbe; No Value extraction possilbe;80
Elke Hirsch; Töchter zählen nicht;No Value extraction possible;No Value extraction possible;No Value extraction possible;95
Konstantin Wecker;Die Kunst des Scheiterns; No Value; Travel Literature; Memoir;95
Raynor Winn; Der Salzpfad; No Value extraction possible; No Value extraction possible; No Value extraction possible;90
Paul Maar; Kartoffelkäferzeiten;1985; Comic; Humor;95.
Bill Watterson; Calvin and Hobbes (Einsatzort Design und Work);No Value;No Value extraction possible;No Value extraction possible;100
Tim Moore;Zwei Esel auf dem Jakobsweg;1976;;;95
Astrid Lindgren ;Das entschwindene Land ;No Date identified;No Genre identified;No Sub-genre identified;80
Klaus Kordon;Die Reise zur Wunderinsel;1964;Comic;Humor;95
Quino;Mafalda;No Value;No Value;No Value;95
Kerstin Gier;Die Mütter-Mafia;No Value extraction possible;No Value extraction possible;No Value extraction possible;80
Manfred Hausmann;Martin;No Value;Memoir;No Value;98
S. Augustin Wöhlett;Der versunkene Garten;;Non-fiction;Memoir;90
Corinne Hofmann;Die weiße Massai;No Value;Children's literature;Picture books;90
Ali Mitgutsch;Meine liebsten Wimmelbücher; No Value extraction possible; No Value extraction possible; No Value extraction possible;100
Waris Dirie; Wüstenblume;1973;Fiction;Children's;100
Astrid Lindgren;Die Brüder Löwenherz;;;;80
Jens Andersen;Astrid Lindgren: Ihr Leben;No Value;No Value;No Value;85
Jean Webster;Daddy Langbein;1961;Non-fiction;Political Philosophy;100
Frantz Fanon;The Wretched of the Earth;2004;Nonfiction;Technology;90
Keith van Rijsbergen;The Geometry of Information Retrieval;1986; Horror; Dark Fantasy;100
STEPHEN KING; IT;1921;Fiction;Classic;95
L. M. Montgomery;Rilla of Ingleside;1995; Fantasy; Adventure;90
Philip Pullman; His Dark Materials;1977;Fantasy;Youth;90
Susan Cooper;Wintersonnenwende;No Value extraction possible;No Value extraction possible;No Value extraction possible;80
KATAPULT;100 Karten über Sprache; No Value; No Value; No Value;95
Kurt Eigl; Deutsche Götter- und Heldensagen;1844; Philosophy; Political;100
Karl Marx; Early Writings;1951; Fiction; War;90
Nicholas Monsarrat; The Cruel Sea;;History;Norse Sagas;90
Snorre Sturlason;Heimskringla;1992;Science Fiction;Space Opera;95
Vernor Vinge;A Fire Upon the Deep;1954;Military;Strategy;90
B. H. Liddell Hart;Strategy;2003; Fiction; Thriller;100
Dan Brown; The Da Vinci Code;1970;Fantasy;Arthurian 93;
Mary Stewart;The Crystal Cave;2018;Fantasy;Steampunk;100
P. Djèlí Clark;The Black God's Drums;1951;Science Fiction;Post-apocalyptic;100
John Wyndham;The Day of the Triffids;2003;Science Fiction;Speculative Fiction;95
Margaret Atwood;Oryx und Crake;No Value;Science Fiction;No Value;90
Nina Allan;The Rift;No Value;History;Saga;95
Orkneyinga Saga;Penguin Classics;1974;Non-fiction;Environmental Studies;95
Ivan D. Illich;Energy and Equity;1970;History;Native American;100
Dee Brown;Bury My Heart at Wounded Knee;2015;Fantasy;Science Fiction;100
N.K. Jemisin;The Fifth Season;No Value extraction possible;No Value extraction possible;No Value extraction possible;85
John Niven;Kill Your Friends;No Value;No Value;No Value;100
rick bass;les derniers grizzlys; No Value extraction possible; No Value extraction possible; No Value extraction possible;100
Gene Kranz; Failure Is Not an Option;No Value;No Value;No Value;95
Juli Zeh;Neu Jahr;1952;Historical Fiction;Horror;95
Aldous Huxley;The Devils of Loudun;No Value;No Value;No Value;90
Kingsley Amis;Anständig Trinken;No Value;Comedy;Satire;95
Leonard Barras;Up the Tyne in a Flummox;1927;Fiction;Philosophical Fiction;100
Hermann Hesse;Steppenwolf;1982;Travel;Memoir;100
William Least Heat Moon;Blue Highways: A Journey into America;1990;Feminism;Gender Studies;100
Judith Butler;Gender Trouble;No Value;No Value;No Value;100
Anne Carson;eros the bittersweet;No Value;No Value;No Value;95
Umberto Eco;Foucaultin heiluri;2004;Social Sciences;Anthropology;95
David Graeber;Fragments of an Anarchist Anthropology;No Value;Computing;Programming;90
Alex Kölpin;C im 21. Jahrhundert;1990;Science Fiction;Adventure;90
Michael Crichton;DinoPark;NO VALUE;Non-Fiction;Sociology;90
Christian Parenti;Lockdown America;1983;Non-fiction;Media Studies;95
Ben H. Bagdikian;The Media Monopoly;2003; Non-fiction; Architecture and Design;100
Christopher Alexander; The Nature of Order;1968;Science Fiction;Hard Science Fiction;100
Arthur C. Clarke;2001: A Space Odyssey;1995;Fiction;Historical;95
Rohinton Mistry;A Fine Balance;2019;Science Fiction;Time Travel;100
Amal El-Mohtar;This Is How You Lose the Time War;No Value extraction possible;Language Learning;No Value extraction possible;90
Complete Hindi;No Value extraction possible;1976;Cookbook;;
Alice May Brock;Alice's Restaurant Cookbook;1943;Novel;Psychological;90
Stefan Zweig;Schachnovelle;No Value;Non-fiction;Art;95
Julien Chazal;Calligraphy: A Complete Guide;None;Technology;Reference;90
Adam C. Engst;Internet Starter Kit;No Value;Fantasy;No Value;100
Terry Pratchett;Guards! Guards!;1928;Science Fiction;Space Opera;95
"E. E. ""Doc"" Smith";The Skylark of Space;No Value;No Value;No Value;95
Eva Alton;Alle Farben Des Lebens;1993;Science Fiction;Dystopian;100
Octavia E. Butler;Parable of the Sower;1954;Fantasy;Epic Fantasy;100
J.R.R. Tolkien;The Lord of the Rings;1884;Fiction;Science Fiction;100
Edwin A. Abbott;Flatland;No Value;null;null;95
Evan S. Connell;The Aztec Treasure House;;;;100
George Bachich;Piano Accordion Owner's Manual and Buyer's Guide;1964;Fantasy;Young Adult;100
Lloyd Alexander;The Chronicles of Prydain;2006;Non-Fiction;Political Science;95
Michael Albert;Realizing Hope;1957;Fiction;Novel;100
Lawrence Durrell;Justine;1958;Art;Japanese Art;100
James A. Michener;The Hokusai Sketch-Books: Selections From The Manga;2007;Non-fiction;Religion;100
Christopher Hitchens;God Is Not Great;1919;Novel;Crime;80
Sax Rohmer;Dope;1983;Fantasy;Historical Fiction;100
Marion Bradley;The Mists of Avalon;2000;Horror;Experimental Fiction;100
Mark Z. Danielewski;House of Leaves;No Value extraction possible;Graphic Novel;No Value extraction possible;95
Michel Rabagliati;Paul à Québec;No Value;Science Fiction;Fantasy;100
Tamsyn Muir;Gideon the Ninth;1755;Philosophy;Sociopolitical Theory;100
Jean-Jacques Rousseau;Discourse on the Origin of Inequality;1855; Poetry; None;100
Walt Whitman; Leaves of Grass;1983;Non-fiction;Anthropology;90
Roger D. Abrahams;The Man-of-Words in the West Indies: Performance and the Emergence of Creole Culture;1968;Fantasy;High Fantasy;100
Anne McCaffrey;Dragonflight;1763;Classics;Chinese Literature;96
Cao Xueqin;Dream of the Red Chamber;No Value;No Value;No Value;100
Ryunosuke Akutagawa;Kappa;No Value;Non-fiction;Health;100
Maya Dusenbery;Doing Harm;1993;Fiction;Literary;100
Ernest J. Gaines;A Lesson Before Dying;1951;Philosophy;None;100
Alan W. Watts;The Wisdom of Insecurity;No Value;Non-fiction;History;95
Nicholas Pastore;Selective History of Theories of Visual Perception 1650-1950;no date;Comic;Graphic Novel;90
Love and Rockets;No Value;1952;Literary fiction;Southern Gothic;95
Flannery O'Connor;Wise Blood;No Value;No Value;No Value;100
Stephenie Meyer;Biss zum Morgengrauen;1985;Science Fiction;Space Opera;95
Ender's Game;Orson Scott Card;1985;Fantasy;High Fantasy;95
Margaret Weis and Tracy Hickman;Dragons of Winter Night;Unknown;Educational;Manual;90
Rudolf Wollmann;Werkbuch für Jungen;No Value;No Value;No Value;100
Amélie Nothomb;Antéchrista;1892; Fiction; Mystery;100
Arthur Conan Doyle; The Adventures of Sherlock Holmes;1967;Children's;Adventure;100
E. L. Konigsburg;From the Mixed-Up Files of Mrs. Basil E. Frankweiler;1993;No Value;No Value;100
Iain Banks;Complicity;2000;Fiction;Chick-lit;100
Sophie Kinsella;The Secret Dreamworld of a Shopaholic;No Value;Non-fiction;Environmental Science;100
Robin Wall Kimmerer;Braiding Sweetgrass; No Value extraction possilbe; Horror; Post-apocalyptic;100
Stephen King; The Stand;2005; Fiction; Science Fiction;100
Kazuo Ishiguro; Never Let Me Go;2009;Science fiction;Dystopian;100
Margaret Atwood;Das Jahr der Flut;1838;Mythology;Classical;95
Gustav Schwab;Die schönsten Sagen des klassischen Altertums;No Value;No Value;No Value;100
Randall Robinson;Quitting America;2013;Self-help;Psychology;95
Ichiro Kishimi and Fumitake Koga;The Courage to Be Disliked;1986;Non-fiction;Communication;100
Deborah Tannen;That's Not What I Meant!;1954;Fantasy;Epic;100
J.R.R. Tolkien;The Lord of the Rings;1896;Poetry;None;95
A. E. Housman;A Shropshire Lad; No Value; Science Fiction; No Value;100
Kameron Hurley; God's War; No value extraction possible; No value extraction possible; No value extraction possible;100
Gerhard Seyfried; Wo soll das alles enden;1844;Fiction;Adventure;100
Alexandre Dumas;The Count of Monte Cristo;1949;Fiction;Dystopian;100
George Orwell ;1984;2022;Non-fiction;Social Issues;95
Sherronda J. Brown;Refusing Compulsory Sexuality;1961;Science Fiction;None;95
Stanislaw Lem;Solaris;1990;Fantasy;High Fantasy;90
Robert Jordan;Vaarojen vaival;1904;;Poetry;80
E.E. Cummings;Complete Poems;No Value;No Value extraction possilbe;No Value extraction possilbe;100
Hilbert Meyer;UnterrichtsMethoden II: Praxisband;No Value;Non-fiction;Environmental History;95
Roman Köster;Müll; No Value; Graphic novel; No Value;100
Marjane Satrapi; The Complete Persepolis;1995;Non-fiction;Religion;90
IBN WARRAQ;Why I Am Not A Muslim;No Value;No Value;No Value;90
Bourgeon;Les Compagnons du Crépuscule Le dernier chant des Malaterre;1865;Fiction;Fantasy;100
Lewis Carroll;Alice in Wonderland;2009;Science Fiction;Mystery;100
China Miéville;The City & The City;1913;No Value;No Value;100
Marcel Proust;In Search of Lost Time Volume 1: The Way by Swann's;1974;Science Fiction;;
Ursula K. Le Guin;The Dispossessed;2005;Fiction;Novel;90
Michel Houellebecq;Die Möglichkeit einer Insel;1914;No Value;No Value;100
Rabindranath Tagore;The Gardener;1985;Non-fiction;Science;95
William Poundstone;The Recursive Universe;; Non-fiction; Political Science;95
Srdja Popovic; Protest!;1980;Fiction;Mystery;100
Umberto Eco;El Nombre de la Rosa;No Value;No Value;No Value;100
Nick Hornby;Fever Pitch;1906;Satire;Lexicon;100
Ambrose Bierce;The Devil's Dictionary;No Value;Children;Storybook;100
Richard Scarry;Best Storybook Ever;1960;Fiction;Historical Fiction;100
Harper Lee;To Kill A Mockingbird;1916;Fiction;Novel;100
James Joyce;A Portrait of the Artist as a Young Man;1986;Comic ;Humor ;100
F.K. Waechter ;Wahrscheinlich guckt wieder kein Schwein ;2015;Science fiction;Apocalyptic and post-apocalyptic fiction;100
Neal Stephenson;Seveneves;1965;Children's literature;Fiction;100
Tove Jansson;Moominpappa at Sea;;Non-Fiction;War;90
Paul Brickhill;The Dam Busters;No Value;No Value;No Value;100
Kobi Yamada;Vielleicht;No Value;No Value;No Value;95
Françoise Gilot;Leben mit Picasso;1939;Fiction;Novel;100
